,Beta [degrees],Cv [-],LCG [%L],Tao [degrees],H1/3 /b [-],ncg [g],nbow [g]
99,20,0.959999979,39.71428571,3.24000001,0.219999999,0.346861314,0.68
100,20,0.959999979,39.71428571,3.24000001,0.219999999,0.318554745,0.672
101,20,0.959999979,32.71428571,4.309999943,0.219999999,0.32145661,0.825
102,20,0.959999979,32.71428571,4.389999866,0.219999999,0.320696675,1.029
103,20,0.959999979,28.57142857,5.019999981,0.219999999,0.347311436,0.992
104,20,1.200000048,39.71428571,4.019999981,0.219999999,0.311284672,0.594
105,20,1.200000048,28.57142857,5.840000153,0.219999999,0.35622871,0.959
106,20,0.730000019,39.71428571,2.539999962,0.439999998,0.558627737,1.064
107,20,0.959999979,39.71428571,3.25,0.439999998,0.803635036,1.502
108,20,0.959999979,39.71428571,3.25,0.439999998,0.721394161,1.357
109,20,0.959999979,32.71428571,4.53000021,0.439999998,0.771796026,1.977
110,20,0.959999979,32.71428571,4.550000191,0.439999998,0.862691809,1.994
111,20,0.959999979,28.57142857,5.579999924,0.439999998,0.850328467,2.393
112,20,1.200000048,39.71428571,4.130000114,0.439999998,0.72920438,1.373
113,20,1.200000048,28.57142857,6.300000191,0.439999998,0.841812652,2.016
114,20,0.730000019,39.71428571,2.849999905,0.670000017,0.747386861,1.334
115,20,0.959999979,39.71428571,3.25,0.670000017,0.900678832,1.643
116,20,0.959999979,39.71428571,3.450000048,0.670000017,0.941919708,1.603
117,20,0.959999979,32.71428571,5.079999924,0.670000017,0.927042985,1.704
118,20,0.959999979,32.71428571,5.139999866,0.670000017,1.014055556,2.016
119,20,0.959999979,28.57142857,6.670000076,0.670000017,1.080815085,2.35
120,20,1.200000048,39.71428571,4.139999866,0.670000017,0.907576642,1.482
121,20,1.200000048,28.57142857,7.429999828,0.670000017,1.183467153,2.479
122,20,0.730000019,39.71428571,2.369999886,0.219999999,0.374080292,0.765
123,20,0.959999979,39.71428571,2.950000048,0.219999999,0.364036496,0.657
124,20,0.959999979,28.57142857,3.579999924,0.219999999,0.414647202,0.875
125,20,1.200000048,39.71428571,3.390000105,0.219999999,0.395992701,0.753
126,20,1.200000048,28.57142857,4.5,0.439999998,0.509781022,1.299
